itemID regionID itemName
20000119 10000009 N-LY4R
20000120 10000009 V2S-RH
20000121 10000009 FD-7Y4
20000122 10000009 TL-FDN
20000123 10000009 R-CL2W
20000124 10000010 1P-VL2
20000125 10000010 X-VN63
20000126 10000010 014U-A
20000127 10000010 52-JKU
20000128 10000010 E3-NLE
20000129 10000010 GORV-P
20000130 10000010 03C-SU
20000131 10000010 W-XBGF
20000132 10000011 730-KH
20000133 10000011 U-3HAO
20000134 10000011 K-DLD2
20000135 10000011 V-LQBF
20000136 10000011 BB8E-G
20000137 10000011 IYOO-M
20000138 10000011 Q-PVMK
20000139 10000011 AP-S8F
20000140 10000011 T-W4L3
20000141 10000011 V-4QJC
20000142 10000011 DYK-G8
20000143 10000011 L-TEVM
20000144 10000011 HRJG-D
20000145 10000011 W-3Y6D
20000146 10000011 I3-2J0
20000147 10000012 Tranquillity
20000148 10000012 Paradise
20000149 10000012 Elysium
20000150 10000012 Sound
20000151 10000012 Rapture
20000152 10000012 Hale
20000153 10000012 Heaven
20000154 10000013 4R-HUN
20000155 10000013 XI0-X2
20000156 10000013 1M4-FN
20000157 10000013 UL8-RD
20000158 10000013 3TS-12
20000159 10000013 E6EO-H
20000160 10000013 PFL-QY
20000161 10000013 7UNX-J
20000162 10000013 D-YKXH
20000163 10000013 G-HISF
20000164 10000013 GDBW-2
20000165 10000013 WS5L-X
20000166 10000013 MW49-U
20000167 10000013 PX0-P4
20000168 10000013 2747-4
20000169 10000014 UX3-N2
20000170 10000014 N-OGI1
20000171 10000014 EM-L3K
20000172 10000014 ZW-BY5
20000173 10000014 JZV-O6
20000174 10000014 XR9-LP
20000175 10000014 9HXQ-G
20000176 10000014 FDR-EQ
20000177 10000014 T-1WDH
20000178 10000014 A-JI5E
20000179 10000014 T-HHHT
20000180 10000014 NNLX-K
20000181 10000014 6JCS-4
20000182 10000014 U-JTBT
20000183 10000014 BRP2-K
20000184 10000015 1G-8KY
20000185 10000015 ST-0EZ
20000186 10000015 48R-PS
20000187 10000015 N32Z-Z
20000188 10000015 UTZ-7B
20000189 10000015 E-I1JW
20000190 10000015 W9MQ-1
20000191 10000015 XHYS-O
20000192 10000015 Y8-HHZ
20000193 10000015 Y8HB-U
20000194 10000015 XMNF-7
20000195 10000015 L-1T22
20000196 10000015 0HD-6C
20000197 10000015 0KTC-R
20000208 10000016 Pietanen
20000211 10000016 Umamon
20000212 10000016 Mito
20000213 10000017 1-Z95W
20000214 10000017 OG-DJD
20000215 10000017 05-1B6
20000216 10000017 WSC-AL
20000217 10000017 BS8-ZQ
20000218 10000017 I4-DK8
20000219 10000017 4I-WP1
20000220 10000017 NSM-6F
20000221 10000017 F-8DMX
20000222 10000017 D-YMGR
20000223 10000017 2RX9-6
20000224 10000017 3A-CND
20000225 10000018 Z6T6-B
20000226 10000018 OC-TTA
20000227 10000018 J0-59Y
20000228 10000018 3D-ROC
20000229 10000018 4-0VL9
20000230 10000018 E-UBWI
20000231 10000018 E1L-UY
20000232 10000018 P-FL48
20000233 10000018 OWT3-6
20000234 10000018 E65-47
20000235 10000018 MY-HQD
20000236 10000019 O-BSIB
20000237 10000019 W1-F3U
20000238 10000019 826-A5
20000239 10000019 6I-9Y2
20000240 10000019 B9J-NT
20000241 10000019 UN2H-D
20000242 10000019 F-0CTG
20000246 10000020 Emsek
20000249 10000020 Sukanan
20000254 10000020 Anidaza
20000258 10000021 B-D245
20000259 10000021 X5O9-E
20000260 10000021 J33-JR
20000261 10000021 AGI1-F
20000262 10000021 U-IOR1
20000263 10000021 NPL-WH
20000264 10000021 IM-8S5
20000265 10000021 7-ZDOK
20000266 10000021 6GU-AT
20000267 10000021 2FYX-H
20000268 10000021 NOB-HD
20000269 10000021 C9XB-L
20000270 10000021 KPU3-3
20000271 10000022 5VN-B7
20000272 10000022 41JS-R
20000273 10000022 H26A-B
20000274 10000022 Y-2D6Q
20000275 10000022 U7L-MQ
20000276 10000022 XJ-0RG
20000277 10000022 H-QXM7
20000278 10000022 T-L301
20000279 10000022 QO-17V
20000280 10000022 VH1-NS
20000281 10000022 Q4IG-S
20000282 10000022 JG-ZLG
20000283 10000022 V-H3V0
20000284 10000022 W-ULNA
20000285 10000022 SB3-IH
20000286 10000022 Z01V-Z
20000287 10000022 WF-OP4
20000288 10000022 R-IZDC
20000289 10000023 MDM8-J
20000290 10000023 U8-CWA
20000291 10000023 38G6-L
20000292 10000023 YS-GOP
20000293 10000023 WMP-OF
20000294 10000023 LY-FY6
20000295 10000023 U-7RBK
20000296 10000023 G8-D09
20000297 10000023 304Z-R
20000298 10000023 K-QUVW
20000299 10000023 LN-L8L
20000300 10000023 S4GH-I
20000301 10000023 0A-73B
20000304 10000042 Aldodan
20000306 10000042 Fribrodi
20000308 10000042 Essin
20000309 10000042 Angils
20000310 10000025 Q-IPAA
20000311 10000025 K-ZKBM
20000312 10000025 MY-QQI
20000313 10000025 RTCU-5
20000314 10000025 C73-U5
20000315 10000025 K-N3MD
20000316 10000025 4MY-AB
20000317 10000025 Y46-EN
20000318 10000025 EL8Z-M
20000319 10000025 YENX-U
20000320 10000025 WTE-CK
20000321 10000025 IJE6-J
20000328 10000043 Armi
20000330 10000043 Nashar
20000333 10000043 Liela
20000335 10000027 4M6-GJ
20000336 10000027 D-GU3R
20000337 10000027 N-APJ8
20000338 10000027 PGPJ-8
20000339 10000027 8G-JN6
20000340 10000027 M9-AN3
20000341 10000027 6TT8-Z
20000342 10000027 RDD-E6
20000343 10000027 ICH-B6
20000344 10000027 SLYP-5
20000345 10000027 8AO-5V
20000346 10000027 J-78ZG
20000347 10000027 H7Q-DG
20000348 10000027 1VN-XC
20000349 10000027 PG-RWX
20000351 10000028 Tartatven
20000352 10000028 Besateoden
20000353 10000028 Almur
20000354 10000028 Eoldulf
20000355 10000028 Elfrard
20000356 10000029 N-K4Q0
20000357 10000029 UBPU-9
20000358 10000029 IPS-QB
20000359 10000029 8K-CHA
20000360 10000029 ZYL-FT
20000361 10000029 NK-AOZ
20000362 10000029 V1G-63
20000363 10000029 F-ZNNG
20000364 10000029 KR-XF4
20000365 10000029 RJ-1R7
20000366 10000029 74IL-O
20000368 10000030 Huvilma
20000372 10000030 Hed
20000374 10000030 Akimamur
20000375 10000030 Evannater
20000378 10000030 Benurad
20000379 10000031 5J-SSP
20000380 10000031 ZYR-NF
20000381 10000031 1A-WYQ
20000382 10000031 05M-I1
20000383 10000031 EK-NQ2
20000384 10000031 O6W-QE
20000385 10000031 QZJ-FL
20000398 10000032 Aeman
20000399 10000032 Nadire
20000404 10000033 Ieyama
20000412 10000033 Isoma
20000414 10000034 6-CBBM
20000415 10000034 78-6RI
20000416 10000034 2O-VY7
20000417 10000034 3NA-Z1
20000418 10000034 S4S-SD
20000419 10000034 U-HSM3
20000420 10000034 8UD2-J
20000421 10000034 XPG-HE
20000422 10000034 P-B2NE
20000423 10000034 2Q-8WA
20000424 10000035 29V-1R
20000425 10000035 Z-D6K5
20000426 10000035 VW7-YN
20000427 10000035 UTQ-BO
20000428 10000035 N-U2LX
20000429 10000035 S-B1E4
20000430 10000035 A21H-Z
20000431 10000035 RFY-QB
20000432 10000035 D-AWFI
20000433 10000036 Semou
20000436 10000036 Jayai
20000437 10000036 Kabo
20000445 10000037 Giatole
20000447 10000037 Marele
20000451 10000038 Tandoiras
20000453 10000039 KUSW-P
20000454 10000039 8T-OLH
20000455 10000039 Q-2BI6
20000456 10000039 JSZ-X6
20000457 10000039 R2-BT6
20000458 10000039 3WN-1T
20000459 10000039 7ZRW-G
20000460 10000039 E-ILCH
20000461 10000039 AJG-MV
20000462 10000039 O-PQU0
20000463 10000039 9D1V-O
20000464 10000039 FY6-NK
20000465 10000040 WE-WLQ
20000466 10000040 T-4ACL
20000467 10000040 0PS-L5
20000468 10000040 CZ-06R
20000469 10000040 F-W6B4
20000470 10000040 3RU-10
20000471 10000040 DOCS-O
20000472 10000040 04-LOF
20000473 10000040 O9X-CV
20000474 10000040 D4J-PP
20000475 10000040 D61-WV
20000476 10000040 S-Q02B
20000477 10000040 4ZXC-8
20000478 10000041 Z-6NQ6
20000479 10000041 2-M6DE
20000480 10000041 Y4Y7-Q
20000481 10000041 DS-M4Q
20000482 10000041 TA-A7V
20000483 10000041 MK7-AO
20000484 10000041 YFN-UN
20000485 10000041 49A-BZ
20000486 10000041 GN-ACS
20000487 10000041 59H-0G
20000488 10000041 QS-FVH
20000489 10000041 6-V49K
20000490 10000041 SKX-PL
20000491 10000041 JQV5-9
20000502 10000042 Inkelm
20000505 10000042 Rollera
20000506 10000042 Hulf
20000507 10000043 Fua
20000508 10000043 Kashag
20000518 10000043 Nakid
20000519 10000043 Jakemhih
20000520 10000044 Braille
20000522 10000044 Orvanne
20000524 10000044 Elerelle
20000525 10000044 Mobrault
20000526 10000045 M-J57M
20000527 10000045 09-4XW
20000528 10000045 9P57-V
20000529 10000045 TJ10-O
20000530 10000045 X-FHU3
20000531 10000045 GFE-SS
20000532 10000045 2-ZRM0
20000533 10000045 O-EOI9
20000534 10000045 1D-65L
20000535 10000045 E-72A3
20000536 10000046 XFLN-F
20000537 10000046 UWRZ-2
20000538 10000046 7X-X1Y
20000539 10000046 VNX-P0
20000540 10000047 G2E-RJ
20000541 10000047 4BZ-R3
20000542 10000047 AZBG-H
20000543 10000047 I9B-8X
20000544 10000047 XV7L-S
20000545 10000047 ZQ2-CF
20000546 10000047 HS7W-T
20000547 10000047 5-88B9
20000548 10000047 UD-ZJ3
20000549 10000047 P6N8-J
20000550 10000047 04-H4M
20000551 10000047 H-KW4A
20000552 10000047 Q-6LG1
20000553 10000048 Viriette
20000554 10000048 Fislipesnes
20000555 10000048 Alselbosier
20000556 10000048 Josmaert
20000558 10000048 Ganoure
20000559 10000048 Pegeler
20000560 10000048 Beyt
20000561 10000048 Amevync
20000562 10000048 Mallugier
20000563 10000048 Serthoulde
20000567 10000049 Youledian
20000569 10000049 Seevadin
20000572 10000049 Akar
20000573 10000049 Homroon
20000574 10000049 Budar
20000575 10000049 Alpakian
20000576 10000050 H-6HGD
20000577 10000050 PUB-0R
20000578 10000050 YB7B-8
20000579 10000050 A-Z7C9
20000580 10000050 9NP-KR
20000581 10000050 8BO-IH
20000582 10000050 K-JO26
20000583 10000050 F-RA63
20000584 10000050 8ET-D1
20000585 10000050 MPJW-6
20000586 10000050 3B-IWE
20000587 10000050 LI-BA0
20000588 10000050 4QZ-2M
20000589 10000050 XLL-Z7
20000590 10000051 Yrton
20000591 10000051 Balenne
20000592 10000051 Tinnimerci
20000593 10000051 Prelle
20000594 10000051 Assilot
20000595 10000051 Miennue
20000600 10000052 Heti
20000605 10000052 Pezarba
20000609 10000053 QJ2-0M
20000610 10000053 HNZF-Z
20000611 10000053 SI1-CF
20000612 10000053 G3-MU3
20000613 10000053 BB-48X
20000614 10000053 I-WRVM
20000615 10000053 XHL-TZ
20000616 10000053 DA0V-R
20000617 10000053 5ZAB-N
20000618 10000053 N4TD-6
20000619 10000054 Anama
20000620 10000054 Afinoo
20000621 10000054 Mareerieh
20000623 10000054 Ombil
20000624 10000054 Tid
20000625 10000054 Helab
20000626 10000054 Leseasesh
20000627 10000054 Maal
20000628 10000054 Fabai
20000629 10000054 Selonat
20000630 10000055 JE7-F2
20000631 10000055 8-IL7S
20000632 10000055 304-QS
20000633 10000055 0C-PZ4
20000634 10000055 GP-GIU
20000635 10000055 E-312G
20000636 10000055 BZ-10K
20000637 10000055 C-ULS4
20000638 10000055 Q5KW-Z
20000639 10000055 BI-NFW
20000640 10000055 XPBM-F
20000641 10000055 KWCZ-A
20000642 10000055 LIB-F9
20000643 10000055 T-RQ7S
20000644 10000056 1ANT-J
20000645 10000056 AV-SCL
20000646 10000056 I-3ODK
20000647 10000056 C45-9Y
20000648 10000056 L-H07K
20000649 10000056 JQA8-6
20000650 10000056 3-U491
20000651 10000056 OFQ-HG
20000652 10000056 YZKE-Q
20000653 10000056 RHG-4O
20000654 10000056 42-WDG
20000655 10000056 3-PC31
20000656 10000057 Crown
20000657 10000057 Heart
20000658 10000057 Belt
20000659 10000057 Wield
20000660 10000057 Sword
20000661 10000057 Regalia
20000662 10000057 Scepter
20000663 10000057 Velvet
20000664 10000057 Sole
20000665 10000058 Pegasus
20000666 10000058 Wyvern
20000667 10000058 Manticore
20000668 10000058 Sphinx
20000669 10000058 Centaur
20000670 10000058 Unicorn
20000671 10000058 Satyr
20000672 10000058 Kraken
20000673 10000058 Chimera
20000674 10000058 Phoenix
20000675 10000058 Taurus
20000676 10000058 Griffin
20000677 10000058 Hydra
20000678 10000058 Minotaur
20000679 10000058 Skaven
20000680 10000058 Mermaid
20000681 10000058 Basilisk
20000682 10000059 17K-QM
20000683 10000059 TCC-ZV
20000684 10000059 I-CCEI
20000685 10000059 IZ-FBT
20000686 10000059 GEP-XF
20000687 10000059 D9DM-O
20000688 10000060 XPJ1-6
20000689 10000060 B4H-9W
20000690 10000060 6-UCYU
20000691 10000060 O5K-Y6
20000692 10000060 SPNZ-Z
20000693 10000060 YX-LYK
20000694 10000060 D5-SOW
20000695 10000060 W-4U1E
20000696 10000060 O-EIMK
20000697 10000060 SG-CTQ
20000698 10000060 NJU-QV
20000699 10000060 LSC-4P
20000700 10000060 1-A81R
20000701 10000060 F-I56R
20000702 10000060 OK-FEM
20000703 10000061 QP6B-I
20000704 10000061 AU-S0B
20000705 10000061 CL-QB2
20000706 10000061 E-IFSA
20000707 10000061 ZQ7-QS
20000708 10000061 G3IP-E
20000709 10000061 50-5UD
20000710 10000061 F5-O9O
20000711 10000061 EIX-HK
20000712 10000061 BZZ-1U
20000713 10000061 6I-3VX
20000714 10000061 W-3E44
20000715 10000062 O5QG-M
20000716 10000062 Y-LRWI
20000717 10000062 5Z0Y-S
20000718 10000062 8MJO-4
20000719 10000062 U7-GIV
20000720 10000062 RL36-K
20000721 10000063 XOV7-5
20000722 10000063 N-39FI
20000723 10000063 J8-G8K
20000724 10000063 NOK-FZ
20000725 10000063 6KFH-X
20000726 10000063 OY3-DM
20000729 10000064 Jeon
20000730 10000064 Balrille
20000731 10000064 Vieres
20000732 10000064 Peccanouette
20000733 10000064 Arand
20000734 10000064 Thoulde
20000736 10000065 Jatari
20000741 10000065 Ravin
20000742 10000065 Orus
20000744 10000065 Tendrara
20000745 10000066 NT1-5Q
20000746 10000066 O5PO-O
20000747 10000066 B-MQ0Y
20000748 10000066 9BGY-6
20000749 10000066 X7-FTR
20000750 10000066 4LEZ-6
20000751 10000066 VT-LHB
20000752 10000066 BXT7-V
20000753 10000066 L7-RDZ
20000754 10000066 TY0-Q2
20000755 10000066 WXB-RY
20000756 10000066 Q0-4FU
20000757 10000066 LWMW-6
20000758 10000066 S0X-O4
20000759 10000066 TPB-KG
20000765 10000067 Ubar
20000766 10000067 Meli
20000769 10000067 Makh
20000770 10000067 Monalaz
20000771 10000067 Aven
20000772 10000067 Kihkounad
20000773 10000067 EVE
20000775 10000068 Woenckee
20000778 10000068 Obray
