moonID	moonMat1	moonMat2	MoonMat3	moonMat4
40308745 	1 	0 	0 	0
40308766 	2 	1 	0 	0
40308817 	7 	2 	11 	0
40308468 	4 	0 	0 	0
40308503 	9 	4 	14 	0
40308959 	5 	1 	0 	0
40309000 	9 	7 	17 	15
40308377 	7 	20 	15 	0
40309141 	8 	15 	0 	0
40309339 	9 	11 	0 	0
40309276 	9 	4 	0 	0
40312105 	14 	11 	1 	0
40309213 	7 	12 	11 	0
40307450 	0 	0 	0 	0
40307487 	20 	0 	0 	0
40307541 	10 	0 	0 	0
40306918 	7 	6 	0 	0
40306927 	9 	7 	14 	0
40029841 	20 	0 	0 	0
40029845 	15 	14 	0 	0
40029852 	14 	0 	0 	0
40031024 	9 	2 	14 	0
40308598 	0 	0 	0 	0
40308600 	9 	1 	0 	0
40308602 	0 	0 	0 	0
40308604 	0 	0 	0 	0
40308605 	7 	1 	0 	0
40308606 	9 	7 	15 	0
40308607 	1 	0 	0 	0
40308608 	0 	0 	0 	0
40308609 	1 	0 	0 	0
40308610 	7 	0 	0 	0
40308611 	7 	0 	0 	0
40308612 	0 	0 	0 	0
40308613 	9 	0 	0 	0
40308614 	9 	9 	7 	0
40308615 	9 	14 	0 	0
40308616 	0 	0 	0 	0
40308617 	0 	0 	0 	0
40308618 	0 	0 	0 	0
40308619 	0 	0 	0 	0
40308620 	9 	7 	2 	1
40308621 	9 	9 	15 	1
40308622 	0 	0 	0 	0
40308623 	0 	0 	0 	0
40308624 	7 	0 	0 	0
40308603 	0 	0 	0 	0
40308628 	14 	14 	0 	0
40308629 	7 	15 	1 	0
40308631 	0 	0 	0 	0
40308632 	0 	0 	0 	0
40308633 	0 	0 	0 	0
40308635 	15 	15 	15 	0
40308636 	0 	0 	0 	0
40308637 	0 	0 	0 	0
40308639 	0 	0 	0 	0
40308640 	0 	0 	0 	0
40308641 	0 	0 	0 	0
40308642 	7 	15 	15 	0
40308643 	14 	0 	0 	0
40308644 	7 	0 	0 	0
40308645 	15 	0 	0 	0
40308647 	11 	0 	0 	0
40308648 	0 	0 	0 	0
40308650 	0 	0 	0 	0
40308706 	1 	0 	0 	0
40308707 	14 	0 	0 	0
40308655 	0 	0 	0 	0
40308656 	14 	0 	0 	0
40308657 	9 	0 	0 	0
40308658 	0 	0 	0 	0
40308660 	0 	0 	0 	0
40308663 	1 	0 	0 	0
40308664 	0 	0 	0 	0
40308665 	9 	7 	11 	0
40308666 	9 	0 	0 	0
40308667 	0 	0 	0 	0
40308668 	0 	0 	0 	0
40308669 	1 	0 	0 	0
40308670 	15 	14 	14 	0
40308671 	0 	0 	0 	0
40308672 	14 	0 	0 	0
40308674 	9 	9 	1 	0
40308677 	7 	0 	0 	0
40308678 	9 	14 	0 	0
40308679 	7 	0 	0 	0
40308681 	0 	0 	0 	0
40308684 	0 	0 	0 	0
40308685 	9 	15 	1 	0
40308686 	9 	0 	0 	0
40308687 	7 	15 	1 	0
40308688 	7 	1 	0 	0
40308689 	14 	0 	0 	0
40308692 	1 	1 	0 	0
40308693 	7 	2 	15 	0
40308638 	9 	9 	15 	14
40308690 	7 	15 	14 	0
40308694 	0 	0 	0 	0
40308695 	7 	1 	1 	0
40308697 	7 	0 	0 	0
40308698 	0 	0 	0 	0
40308711 	9 	9 	0 	0
40308717 	15 	0 	0 	0
40308720 	0 	0 	0 	0
40308724 	0 	0 	0 	0
40308727 	0 	0 	0 	0
40308728 	0 	0 	0 	0
40308730 	0 	0 	0 	0
40308731 	0 	0 	0 	0
40308721 	7 	0 	0 	0
40308723 	9 	15 	1 	1
40308726 	15 	15 	1 	0
40308729 	9 	15 	14 	0
40308732 	9 	0 	0 	0
40308734 	0 	0 	0 	0
40308735 	7 	15 	15 	15
40308737 	9 	12 	0 	0
40308738 	0 	0 	0 	0
40308739 	15 	1 	0 	0
40308746 	0 	0 	0 	0
40308747 	9 	7 	15 	0
40308748 	15 	0 	0 	0
40308749 	9 	15 	0 	0
40308750 	0 	0 	0 	0
40308752 	0 	0 	0 	0
40308754 	15 	0 	0 	0
40308755 	0 	0 	0 	0
40308757 	0 	0 	0 	0
40308758 	1 	0 	0 	0
40308759 	9 	1 	0 	0
40308761 	9 	7 	0 	0
40308762 	0 	0 	0 	0
40308763 	0 	0 	0 	0
40308764 	9 	0 	0 	0
40308765 	0 	0 	0 	0
40308760 	15 	0 	0 	0
40308767 	15 	15 	15 	14
40308768 	0 	0 	0 	0
40308769 	0 	0 	0 	0
40308770 	9 	14 	1 	1
40308771 	0 	0 	0 	0
40308774 	2 	15 	0 	0
40308777 	0 	0 	0 	0
40308779 	0 	0 	0 	0
40308781 	1 	0 	0 	0
40308782 	0 	0 	0 	0
40308775 	0 	0 	0 	0
40308783 	0 	0 	0 	0
40308784 	0 	0 	0 	0
40308785 	0 	0 	0 	0
40308786 	9 	1 	0 	0
40308787 	0 	0 	0 	0
40308788 	0 	0 	0 	0
40308789 	9 	7 	0 	0
40308790 	7 	0 	0 	0
40308791 	0 	0 	0 	0
40308792 	9 	9 	14 	0
40308794 	0 	0 	0 	0
40308795 	0 	0 	0 	0
40308796 	0 	0 	0 	0
40308797 	0 	0 	0 	0
40308955 	0 	0 	0 	0
40308957 	0 	0 	0 	0
40308960 	9 	2 	0 	0
40308962 	9 	15 	14 	1
40308963 	0 	0 	0 	0
40308964 	0 	0 	0 	0
40308967 	0 	0 	0 	0
40308971 	0 	0 	0 	0
40308972 	0 	0 	0 	0
40308973 	15 	14 	1 	0
40308974 	0 	0 	0 	0
40308975 	7 	0 	0 	0
40308976 	9 	14 	0 	0
40308977 	0 	0 	0 	0
40308978 	7 	6 	15 	0
40308979 	15 	0 	0 	0
40308980 	0 	0 	0 	0
40308981 	9 	1 	0 	0
40308982 	9 	0 	0 	0
40308983 	0 	0 	0 	0
40308984 	9 	7 	0 	0
40308985 	7 	2 	15 	0
40308988 	9 	15 	0 	0
40308989 	1 	0 	0 	0
40308991 	2 	0 	0 	0
40308997 	0 	0 	0 	0
40308999 	7 	7 	0 	0
40309001 	0 	0 	0 	0
40309002 	15 	1 	0 	0
40309003 	9 	0 	0 	0
40309004 	0 	0 	0 	0
40309005 	0 	0 	0 	0
40309006 	0 	0 	0 	0
40309007 	0 	0 	0 	0
40309008 	9 	7 	0 	0
40309009 	9 	9 	14 	0
40309010 	0 	0 	0 	0
40309011 	7 	1 	0 	0
40309012 	7 	14 	0 	0
40309013 	0 	0 	0 	0
40309015 	7 	7 	1 	1
40309019 	0 	0 	0 	0
40309020 	15 	15 	0 	0
40309021 	9 	0 	0 	0
40309024 	0 	0 	0 	0
40309025 	0 	0 	0 	0
40309026 	0 	0 	0 	0
40309028 	15 	0 	0 	0
40309029 	0 	0 	0 	0
40309030 	0 	0 	0 	0
40309032 	0 	0 	0 	0
40309033 	0 	0 	0 	0
40309034 	0 	0 	0 	0
40309035 	9 	7 	15 	15
40309037 	0 	0 	0 	0
40309038 	0 	0 	0 	0
40309039 	0 	0 	0 	0
40309040 	9 	0 	0 	0
40309041 	15 	15 	0 	0
40309042 	15 	0 	0 	0
40309043 	9 	14 	1 	0
40309044 	0 	0 	0 	0
40309045 	0 	0 	0 	0
40309047 	0 	0 	0 	0
40308801 	15 	15 	1 	0
40308802 	15 	12 	1 	0
40308803 	0 	0 	0 	0
40308804 	0 	0 	0 	0
40308805 	1 	0 	0 	0
40308806 	0 	0 	0 	0
40308807 	0 	0 	0 	0
40308808 	15 	0 	0 	0
40308809 	9 	7 	0 	0
40308810 	0 	0 	0 	0
40308811 	7 	7 	1 	0
40308812 	0 	0 	0 	0
40308813 	0 	0 	0 	0
40308814 	9 	0 	0 	0
40308815 	15 	15 	14 	1
40308816 	0 	0 	0 	0
40308818 	0 	0 	0 	0
40308819 	0 	0 	0 	0
40308820 	7 	4 	15 	0
40308821 	2 	15 	0 	0
40308822 	1 	0 	0 	0
40030089 	14 	14 	1 	1
40030091 	0 	0 	0 	0
40030094 	9 	0 	0 	0
40030095 	9 	0 	0 	0
40030097 	7 	15 	0 	0
40030098 	9 	15 	1 	0
40030099 	1 	0 	0 	0
40030100 	0 	0 	0 	0
40030101 	0 	0 	0 	0
40030102 	7 	0 	0 	0
40030103 	7 	0 	0 	0
40030104 	0 	0 	0 	0
40030105 	0 	0 	0 	0
40030106 	0 	0 	0 	0
40030108 	0 	0 	0 	0
40030109 	0 	0 	0 	0
40030110 	9 	1 	0 	0
40030112 	0 	0 	0 	0
40030114 	0 	0 	0 	0
40030116 	7 	15 	15 	0
40030118 	0 	0 	0 	0
40030119 	0 	0 	0 	0
40030120 	1 	0 	0 	0
40030121 	0 	0 	0 	0
40030122 	0 	0 	0 	0
40030123 	0 	0 	0 	0
40030124 	0 	0 	0 	0
40030125 	9 	7 	0 	0
40030126 	7 	1 	0 	0
40030127 	0 	0 	0 	0
40030128 	9 	9 	14 	1
40030129 	15 	0 	0 	0
40030130 	0 	0 	0 	0
40030131 	7 	15 	1 	0
40030132 	0 	0 	0 	0
40030133 	0 	0 	0 	0
40030134 	9 	1 	0 	0
40030135 	15 	0 	0 	0
40030136 	0 	0 	0 	0
40030137 	0 	0 	0 	0
40030138 	7 	15 	1 	0
40030139 	0 	0 	0 	0
40030140 	1 	0 	0 	0
40030141 	20 	1 	0 	0
40030142 	0 	0 	0 	0
40030143 	0 	0 	0 	0
40030145 	7 	15 	0 	0
40030146 	0 	0 	0 	0
40030147 	0 	0 	0 	0
40030150 	1 	1 	0 	0
40030151 	1 	1 	0 	0
40030152 	0 	0 	0 	0
40030153 	0 	0 	0 	0
40030155 	0 	0 	0 	0
40308824 	7 	14 	0 	0
40308830 	1 	0 	0 	0
40308835 	0 	0 	0 	0
40308838 	9 	1 	0 	0
40308840 	9 	9 	7 	0
40308841 	0 	0 	0 	0
40308844 	0 	0 	0 	0
40308846 	7 	7 	15 	0
40308847 	8 	0 	0 	0
40308848 	15 	12 	0 	0
40308849 	0 	0 	0 	0
40308850 	0 	0 	0 	0
40308851 	0 	0 	0 	0
40308854 	0 	0 	0 	0
